X,Y,OBJECTID,LOCATION,Longtitude,Latitude,INTID
-13685762.84,6309370.051,1,"NANAIMO ST, EIGHTEENTH ST",504276.0412,5450020.043,INT738
-13687016.57,6309508.704,2,"LONDON ST, TWENTY-FIRST ST",503455.5706,5450109.938,INT720
-13685660.08,6309263.691,3,"SIXTH AVE, EIGHTEENTH ST",504343.3424,5449950.695,INT737
-13681777.12,6310963.098,4,"FIRST ST, COLLEGE CRT",506882.9047,5451062.047,INT481
-13679631.09,6314412.558,5,ROUSSEAU ST,508283.57,5453313.87,INT612
-13681055.99,6314722.743,6,"E TENTH AVE, LEE ST",507351.4337,5453514.819,INT707
-13680358.71,6314021.66,7,"E COLUMBIA ST, CEDAR ST",507808.076,5453058.26,INT519
-13681437.56,6313984.793,8,"CHURCHILL AVE, CHESTNUT ST",507102.5195,5453033.262,INT514
-13683929.36,6310881.658,9,"PRINCESS ST, EIGHTH ST",505474.8492,5451007.339,INT317
-13685279.21,6306635.185,10,"SALTER ST, WOOD ST",504594.0072,5448235.513,INT93
-13684590.69,6309303.51,11,FOURTH AVE,505043.1087,5449977.273,INT945
-13681305.96,6310485.293,12,"AGNES ST, HASTINGS ST",507191.568,5450750.723,INT699
-13684221.06,6310052.799,13,"FIFTH AVE, ELEVENTH ST",505284.5174,5450466.392,INT394
-13681265.34,6312686.911,14,CARROL ST,507216.2675,5452186.937,INT956
-13684407.94,6307997.794,15,"DUNCAN ST, BLACKLEY ST",505163.4976,5449125.333,INT86
-13680989.53,6314649.84,16,"RICHMOND ST, LEE ST",507394.9578,5453467.338,INT752
-13684162.64,6308870.448,17,RIALTO CT,505323.4885,5449694.954,INT663
-13682518.11,6310579.993,18,"THIRD AVE, FOURTH ST",506398.3975,5450811.528,INT186
-13685500.71,6310214.357,19,"EIGHTH AVE, FIFTEENTH ST",504447.13,5450571.06,INT953
-13686927.68,6309401.03,20,"DUBLIN ST, TWENTY-FIRST ST",503513.7868,5450039.718,INT781
-13683506.91,6309325.755,21,"QUEENS AVE, SHAW ST",505752.3027,5449992.482,INT403
-13681800.93,6309850.677,22,"CARNARVON ST, BLACKWOOD ST",506868.2309,5450336.262,INT469
-13684167.97,6309988.076,23,"NAPANEE ST, ELEVENTH ST",505319.2972,5450424.197,INT408
-13684841.77,6309543.496,24,"FIFTH AVE, SHARPE ST",504878.6661,5450133.715,INT272
-13682464.73,6310515.948,25,"FOURTH ST, LANCASTER ST",506433.3767,5450769.786,INT205
-13684278.02,6307852.381,26,"EWEN AVE, HOLLY AVE",505248.6152,5449030.515,INT27
-13686647.59,6305751.544,27,"SALTER ST, GIFFORD ST",503698.6657,5447658.049,INT52
-13685971.04,6306191.197,28,"SALTER ST, SPRICE ST",504141.3566,5447945.352,INT98
-13681670.06,6310831.826,29,"FIRST ST, QUEENS AVE",506953.0554,5450976.496,INT434
-13680378.33,6312896.149,30,"E COLUMBIA ST, ALBERTA ST, NELSON CR",507796.2841,5452324.2,INT345
-13683838.56,6310768.017,31,"SIXTH AVE, EIGHTH ST",505534.3305,5450933.26,INT828
-13681313.95,6313834.771,32,"CARNEGIE ST, CHERRY ST",507183.4912,5452935.53,INT619
-13684114.6,6309923.165,33,"ST. ANDREWS ST, ELEVENTH ST",505354.2621,5450381.88,INT395
-13681741.31,6309777.002,34,"CLARKSON ST, BLACKWOOD ST",506907.3033,5450288.241,INT644
-13682410.97,6310449.953,35,"FOURTH ST, ST. GEORGE ST",506468.6019,5450726.771,INT204
-13687479.09,6305457.927,36,CANIL AVE,503154.4279,5447466.041,INT12
-13687647.53,6308985.677,37,"LONDON ST, LONDON PL",503042.8848,5449768.415,INT267
-13681622.74,6310776.193,38,"VANCOUVER ST, FIRST ST, PARK ROW",506984.0627,5450940.24,INT437
-13686839.03,6309292.384,39,"EDINBURGH ST, TWENTY-FIRST ST",503571.8388,5449968.864,INT780
-13684058.84,6309855.31,40,"BELLEVILLE ST, ELEVENTH ST",505390.7897,5450337.643,INT396
-13682356.84,6310384.882,41,"LIVERPOOL ST, FOURTH ST",506504.0676,5450684.359,INT203
-13679423.35,6313037.404,42,"CAPILANO WAY, EDWORTHY WAY",508420.7997,5452417.249,INT281
-13686456.24,6308893.469,43,MEAD ST,503822.5136,5449708.732,INT975
-13680885.25,6313383.239,44,"BLAIR AVE, HOSPITAL ST",507464.2727,5452641.426,INT326
-13683686.73,6311712.758,45,"EIGHTH AVE, FIFTH ST",505633.0344,5451549.668,INT155
-13681687.77,6309702.646,46,"COLUMBIA ST, BLACKWOOD ST",506942.4,5450239.77,INT472
-13684005.72,6309790.466,47,"FOURTH AVE, ELEVENTH ST",505425.5894,5450295.368,INT299
-13686749.1,6309183.496,48,"EIGHTH AVE, TWENTY-FIRST ST",503630.7341,5449897.852,INT778
-13682298.64,6310313.23,49,"QUEENS AVE, FOURTH ST",506542.2004,5450637.657,INT185
-13680605.89,6311974.51,50,GOVERNORS CT,507648.2696,5451722.84,INT957
-13680790.16,6312158.605,51,"MINER ST, RICHMOND ST",507527.5603,5451842.758,INT505
-13687300.36,6305248.32,52,PIER PL,503271.5179,5447329.276,INT24
-13682441.34,6309328.145,53,"CARNARVON ST, BEGBIE ST",506449.5828,5449994.813,INT855
