OBJECTID,LOCATION,Longtitude,Latitude,INTID
1,"NANAIMO ST, EIGHTEENTH ST",504276.0412,5450020.043,INT738
2,"LONDON ST, TWENTY-FIRST ST",503455.5706,5450109.938,INT720
3,"SIXTH AVE, EIGHTEENTH ST",504343.3424,5449950.695,INT737
4,"FIRST ST, COLLEGE CRT",506882.9047,5451062.047,INT481
5,ROUSSEAU ST,508283.57,5453313.87,INT612
6,"E TENTH AVE, LEE ST",507351.4337,5453514.819,INT707
7,"E COLUMBIA ST, CEDAR ST",507808.076,5453058.26,INT519
8,"CHURCHILL AVE, CHESTNUT ST",507102.5195,5453033.262,INT514
9,"PRINCESS ST, EIGHTH ST",505474.8492,5451007.339,INT317
10,"SALTER ST, WOOD ST",504594.0072,5448235.513,INT93
11,FOURTH AVE,505043.1087,5449977.273,INT945
12,"AGNES ST, HASTINGS ST",507191.568,5450750.723,INT699
13,"FIFTH AVE, ELEVENTH ST",505284.5174,5450466.392,INT394
14,CARROL ST,507216.2675,5452186.937,INT956
15,"DUNCAN ST, BLACKLEY ST",505163.4976,5449125.333,INT86
16,"RICHMOND ST, LEE ST",507394.9578,5453467.338,INT752
17,RIALTO CT,505323.4885,5449694.954,INT663
18,"THIRD AVE, FOURTH ST",506398.3975,5450811.528,INT186
19,"EIGHTH AVE, FIFTEENTH ST",504447.13,5450571.06,INT953
20,"DUBLIN ST, TWENTY-FIRST ST",503513.7868,5450039.718,INT781
21,"QUEENS AVE, SHAW ST",505752.3027,5449992.482,INT403
22,"CARNARVON ST, BLACKWOOD ST",506868.2309,5450336.262,INT469
23,"NAPANEE ST, ELEVENTH ST",505319.2972,5450424.197,INT408
24,"FIFTH AVE, SHARPE ST",504878.6661,5450133.715,INT272
25,"FOURTH ST, LANCASTER ST",506433.3767,5450769.786,INT205
26,"EWEN AVE, HOLLY AVE",505248.6152,5449030.515,INT27
27,"SALTER ST, GIFFORD ST",503698.6657,5447658.049,INT52
28,"SALTER ST, SPRICE ST",504141.3566,5447945.352,INT98
29,"FIRST ST, QUEENS AVE",506953.0554,5450976.496,INT434
30,"E COLUMBIA ST, ALBERTA ST, NELSON CR",507796.2841,5452324.2,INT345
31,"SIXTH AVE, EIGHTH ST",505534.3305,5450933.26,INT828
32,"CARNEGIE ST, CHERRY ST",507183.4912,5452935.53,INT619
33,"ST. ANDREWS ST, ELEVENTH ST",505354.2621,5450381.88,INT395
34,"CLARKSON ST, BLACKWOOD ST",506907.3033,5450288.241,INT644
35,"FOURTH ST, ST. GEORGE ST",506468.6019,5450726.771,INT204
36,CANIL AVE,503154.4279,5447466.041,INT12
37,"LONDON ST, LONDON PL",503042.8848,5449768.415,INT267
38,"VANCOUVER ST, FIRST ST, PARK ROW",506984.0627,5450940.24,INT437
39,"EDINBURGH ST, TWENTY-FIRST ST",503571.8388,5449968.864,INT780
40,"BELLEVILLE ST, ELEVENTH ST",505390.7897,5450337.643,INT396
41,"LIVERPOOL ST, FOURTH ST",506504.0676,5450684.359,INT203
42,"CAPILANO WAY, EDWORTHY WAY",508420.7997,5452417.249,INT281
43,MEAD ST,503822.5136,5449708.732,INT975
44,"BLAIR AVE, HOSPITAL ST",507464.2727,5452641.426,INT326
45,"EIGHTH AVE, FIFTH ST",505633.0344,5451549.668,INT155
46,"COLUMBIA ST, BLACKWOOD ST",506942.4,5450239.77,INT472
47,"FOURTH AVE, ELEVENTH ST",505425.5894,5450295.368,INT299
48,"EIGHTH AVE, TWENTY-FIRST ST",503630.7341,5449897.852,INT778
49,"QUEENS AVE, FOURTH ST",506542.2004,5450637.657,INT185
50,GOVERNORS CT,507648.2696,5451722.84,INT957
51,"MINER ST, RICHMOND ST",507527.5603,5451842.758,INT505
52,PIER PL,503271.5179,5447329.276,INT24
53,"CARNARVON ST, BEGBIE ST",506449.5828,5449994.813,INT855
54,"AUGUSTA ST, ELEVENTH ST",505460.178,5450253.382,INT397
55,"FIFTH AVE, EIGHTH ST",505663.7396,5450779.636,INT714
56,"TENTH AVE, TWELFTH ST",504526.8704,5451185.15,INT412
57,"RICHMOND ST, SCHOOL ST",507382.4296,5452711.602,INT561
58,"HAMILTON ST, TWENTY-FIRST ST",503689.8732,5449826.956,INT796
59,GRIFFITHS PL,507707.8996,5453113.008,INT881
60,"QUEENS AVE, ASH ST",506135.3954,5450301.915,INT717
61,"TENTH AVE, SECOND ST",505724.9251,5452172.859,INT222
62,"CORNWALL ST, ELEVENTH ST",505495.5593,5450210.606,INT398
